Player,Player Link,Maidens,Overs,Runs,Wickets,Economy,Inns,Opposition,Ground,Start Date
JW Hastings,/ci/content/player/228622.html,0,8.0,46,1,5.75,1,India,Brisbane,15 Jan 2016
A Zampa,/ci/content/player/379504.html,0,10.0,46,1,4.60,1,South Africa,Providence,7 Jun 2016
NM Coulter-Nile,/ci/content/player/261354.html,0,8.0,46,1,5.75,2,West Indies,Bridgetown,26 Jun 2016
PJ Cummins,/ci/content/player/489889.html,0,10.0,47,1,4.70,1,New Zealand,Hamilton,5 Feb 2017
KW Richardson,/ci/content/player/272262.html,0,10.0,48,1,4.80,1,India,Melbourne,17 Jan 2016
MC Henriques,/ci/content/player/5961.html,0,9.0,48,1,5.33,1,Sri Lanka,Colombo (RPS),21 Aug 2016
JR Hazlewood,/ci/content/player/288284.html,0,10.0,48,1,4.80,1,New Zealand,Auckland,30 Jan 2017
NM Lyon,/ci/content/player/272279.html,0,9.0,49,1,5.44,1,Sri Lanka,Colombo (RPS),24 Aug 2016
NM Coulter-Nile,/ci/content/player/261354.html,1,8.0,50,1,6.25,2,England,Lord's,5 Sep 2015
A Zampa,/ci/content/player/379504.html,0,10.0,50,1,5.00,2,West Indies,Bridgetown,26 Jun 2016
MR Marsh,/ci/content/player/272450.html,0,9.0,51,1,5.66,2,England,Lord's,5 Sep 2015
JR Hazlewood,/ci/content/player/288284.html,0,10.0,51,1,5.10,1,Sri Lanka,Dambulla,28 Aug 2016
MA Starc,/ci/content/player/311592.html,1,10.0,51,1,5.10,1,Sri Lanka,Dambulla,31 Aug 2016
MA Starc,/ci/content/player/311592.html,0,10.0,52,1,5.20,2,England,Birmingham,10 Jun 2017
GJ Maxwell,/ci/content/player/325026.html,0,10.0,54,1,5.40,2,England,Leeds,11 Sep 2015
A Zampa,/ci/content/player/379504.html,1,7.2,55,1,7.50,2,South Africa,Durban,5 Oct 2016
B Stanlake,/ci/content/player/533042.html,1,10.0,55,1,5.50,1,Pakistan,Perth,19 Jan 2017
GS Sandhu,/ci/content/player/499660.html,0,10.0,58,1,5.80,1,India,Melbourne,18 Jan 2015
JP Faulkner,/ci/content/player/270484.html,0,10.0,59,1,5.90,1,England,Hobart,23 Jan 2015
MA Starc,/ci/content/player/311592.html,0,10.0,59,1,5.90,1,New Zealand,Auckland,30 Jan 2017
MA Starc,/ci/content/player/311592.html,0,10.0,60,1,6.00,1,England,Hobart,23 Jan 2015
JP Faulkner,/ci/content/player/270484.html,0,9.0,60,1,6.66,2,Pakistan,Adelaide,26 Jan 2017
